FRED Graph Observations,,,,
Federal Reserve Economic Data,,,,
Link: https://fred.stlouisfed.org,,,,
Help: https://fred.stlouisfed.org/help-faq,,,,
Economic Research Division,,,,
Federal Reserve Bank of St. Louis,,,,
,,,,
TB3MS,"3-Month Treasury Bill: Secondary Market Rate, Percent, Monthly, Not Seasonally Adjusted",,,
,,,,
Frequency: Monthly,,,,
observation_date,TB3MS,,,
2009-06-01,0.18,,,
2009-07-01,0.18,,,
2009-08-01,0.17,,,
2009-09-01,0.12,,,
2009-10-01,0.07,,,
2009-11-01,0.05,,,
2009-12-01,0.05,,,
2010-01-01,0.06,,,
2010-02-01,0.11,,,
2010-03-01,0.15,,,
2010-04-01,0.16,,,
2010-05-01,0.16,,,
2010-06-01,0.12,,,
2010-07-01,0.16,,,
2010-08-01,0.16,,,
2010-09-01,0.15,,,
2010-10-01,0.13,,,
2010-11-01,0.14,,,
2010-12-01,0.14,,,
2011-01-01,0.15,,,
2011-02-01,0.13,,,
2011-03-01,0.10,,,
2011-04-01,0.06,,,
2011-05-01,0.04,,,
2011-06-01,0.04,,,
2011-07-01,0.04,,,
2011-08-01,0.02,,,
2011-09-01,0.01,,,
2011-10-01,0.02,,,
2011-11-01,0.01,,,
2011-12-01,0.01,,,
2012-01-01,0.03,,,
2012-02-01,0.09,,,
2012-03-01,0.08,,,
2012-04-01,0.08,,,
2012-05-01,0.09,,,
2012-06-01,0.09,,,
2012-07-01,0.10,,,
2012-08-01,0.10,,,
2012-09-01,0.11,,,
2012-10-01,0.10,,,
2012-11-01,0.09,,,
2012-12-01,0.07,,,
2013-01-01,0.07,,,
2013-02-01,0.10,,,
2013-03-01,0.09,,,
2013-04-01,0.06,,,
2013-05-01,0.04,,,
2013-06-01,0.05,,,
2013-07-01,0.04,,,
2013-08-01,0.04,,,
2013-09-01,0.02,,,
2013-10-01,0.05,,,
2013-11-01,0.07,,,
2013-12-01,0.07,,,
2014-01-01,0.04,,,
2014-02-01,0.05,,,
2014-03-01,0.05,,,
2014-04-01,0.03,,,
2014-05-01,0.03,,,
2014-06-01,0.04,,,
2014-07-01,0.03,,,
2014-08-01,0.03,,,
2014-09-01,0.02,,,
2014-10-01,0.02,,,
2014-11-01,0.02,,,
2014-12-01,0.03,,,
2015-01-01,0.03,,,
2015-02-01,0.02,,,
2015-03-01,0.03,,,
2015-04-01,0.02,,,
2015-05-01,0.02,,,
2015-06-01,0.02,,,
2015-07-01,0.03,,,
2015-08-01,0.07,,,
2015-09-01,0.02,,,
2015-10-01,0.02,,,
2015-11-01,0.12,,,
2015-12-01,0.23,,,
2016-01-01,0.26,,,
2016-02-01,0.31,,,
2016-03-01,0.29,,,
2016-04-01,0.23,,,
2016-05-01,0.27,,,
2016-06-01,0.27,,,
2016-07-01,0.30,,,
2016-08-01,0.30,,,
2016-09-01,0.29,,,
2016-10-01,0.33,,,
2016-11-01,0.45,,,
2016-12-01,0.51,,,
2017-01-01,0.51,,,
2017-02-01,0.52,,,
2017-03-01,0.74,,,
2017-04-01,0.80,,,
2017-05-01,0.89,,,
2017-06-01,0.98,,,
2017-07-01,1.07,,,
2017-08-01,1.01,,,
2017-09-01,1.03,,,
2017-10-01,1.07,,,
2017-11-01,1.23,,,
2017-12-01,1.32,,,
2018-01-01,1.41,,,
2018-02-01,1.57,,,
2018-03-01,1.70,,,
2018-04-01,1.76,,,
2018-05-01,1.86,,,
2018-06-01,1.90,,,
2018-07-01,1.96,,,
2018-08-01,2.03,,,
2018-09-01,2.13,,,
2018-10-01,2.25,,,
2018-11-01,2.33,,,
2018-12-01,2.37,,,
2019-01-01,2.37,,,
2019-02-01,2.39,,,
2019-03-01,2.40,,,
2019-04-01,2.38,,,
