Date,Dividends
2010-09-21,0.00369
2015-03-25,0.022
2019-03-20,0.094
2018-12-26,0.104
2013-03-20,0.00125
2013-12-24,0.0
2015-12-22,0.04367
2013-06-26,0.00417
2015-06-24,0.005
2009-12-23,0.00272
2013-09-25,0.00617
2011-09-21,0.00283
2009-09-24,0.00175
2014-03-26,0.0
2016-03-23,0.0
2018-03-21,0.03067
2014-12-22,0.0235
2012-03-21,0.0
2010-03-24,0.00178
2014-06-25,0.0125
2016-06-22,0.02767
2018-06-20,0.048
2012-12-26,0.00142
2018-09-26,0.038
2010-06-22,0.00486
2012-06-20,0.00217
2012-09-25,0.0
2014-09-24,0.01183
2016-09-21,0.00433
