Date,SPY_pcent_gain,UPRO_pcent_gain,ideal_UPRO_pcent_gain,SPY_cumulative_gain,UPRO_cumulative_gain,ideal_UPRO_cumulative_gain
2009-06-26,-0.260649,-0.518433,-0.781948,0.997394,0.994816,0.992181
2009-06-29,0.936412,2.837309,2.809237,1.006733,1.023042,1.020053
2009-06-30,-0.809062,-2.387392,-2.427185,0.998588,0.998618,0.995295
2009-07-01,0.413274,1.072898,1.239821,1.002715,1.009332,1.007635
2009-07-02,-2.729345,-8.252469,-8.188034,0.975347,0.926037,0.925129
2009-07-06,-0.011129,0.273695,-0.033387,0.975239,0.928572,0.924820
2009-07-07,-1.937645,-6.228312,-5.812934,0.956342,0.870737,0.871061
2009-07-08,-0.068133,0.119079,-0.204399,0.955691,0.871774,0.869281
2009-07-09,0.193180,0.621139,0.579539,0.957537,0.877189,0.874318
2009-07-10,-0.238175,-0.958771,-0.714525,0.955256,0.868779,0.868071
2009-07-13,2.432923,7.306745,7.298769,0.978497,0.932258,0.931430
2009-07-14,0.566041,2.051404,1.698123,0.984036,0.951383,0.947246
2009-07-15,2.924623,8.549280,8.773869,1.012815,1.032719,1.030357
2009-07-16,-0.160842,2.677390,-0.482525,1.011186,1.060369,1.025385
2009-07-17,1.095474,-0.173859,3.286422,1.022263,1.058525,1.059083
2009-07-20,1.062361,3.036570,3.187082,1.033123,1.090668,1.092837
2009-07-21,0.462528,1.658388,1.387584,1.037902,1.108756,1.108001
2009-07-22,-0.020924,-0.187032,-0.062772,1.037685,1.106682,1.107306
2009-07-23,2.208269,6.641712,6.624807,1.060599,1.180185,1.180663
2009-07-24,0.409578,1.308075,1.228734,1.064943,1.195622,1.195170
2009-07-27,0.295737,0.847932,0.887212,1.068093,1.205760,1.205774
2009-07-28,-0.467716,-0.850365,-1.403149,1.063097,1.195507,1.188855
2009-07-29,-0.245170,-1.329853,-0.735510,1.060491,1.179608,1.180111
2009-07-30,1.044543,3.125309,3.133628,1.071568,1.216475,1.217091
2009-07-31,0.141887,0.293585,0.425661,1.073089,1.220046,1.222272
2009-08-03,1.649635,5.033031,4.948904,1.090791,1.281452,1.282761
2009-08-04,0.258856,0.961964,0.776568,1.093614,1.293779,1.292722
2009-08-05,-0.287977,-0.712371,-0.863932,1.090465,1.284562,1.281554
2009-08-06,-0.517882,-1.874422,-1.553645,1.084818,1.260484,1.261643
2009-08-07,1.311441,3.966712,3.934322,1.099044,1.310484,1.311280
2009-08-10,-0.207509,-0.694491,-0.622527,1.096764,1.301383,1.303117
2009-08-11,-1.247643,-3.806675,-3.742930,1.083080,1.251843,1.254342
2009-08-12,1.072897,3.478741,3.218690,1.094700,1.295392,1.294716
2009-08-13,0.763886,2.258997,2.291658,1.103063,1.324654,1.324386
2009-08-14,-0.767942,-2.391724,-2.303827,1.094592,1.292972,1.293875
2009-08-17,-2.460565,-7.431179,-7.381694,1.067659,1.196889,1.198365
2009-08-18,0.793407,2.743298,2.380220,1.076129,1.229724,1.226888
